publication_year,n_papers,median_citations,median_citation_log,pct_open
2022,1043,335,5.817111159963204,75.26366251198466
2023,692,342,5.8377304471659395,79.1907514450867
2024,242,342,5.8377304471659395,84.71074380165288
2025,23,397,5.986452005284438,82.6086956521739
