model,split,accuracy,f1_macro,roc_auc,model_label
random_forest,test,0.5233,0.5134,0.6943,random forest
adaboost,test,0.52,0.4973,0.7002,adaboost
decision_tree,test,0.4967,0.49370000000000003,0.668,decision tree
gradient_boosting,test,0.49,0.4896,0.6703,gradient boosting
svm_rbf,test,0.4533,0.4535,0.6665,svm rbf
mlp,test,0.4533,0.456,0.6378,mlp
logistic_regression,test,0.4433,0.4471,0.6349,logistic regression
naive_bayes,test,0.3967,0.3748,0.5743,naive bayes
xgboost,test,0.3567,0.3565,0.5209,xgboost
