model,split,best_params,cv_f1_macro,accuracy,f1_macro
random_forest_tuned,test,"ntree=500,mtry=4",0.3726,0.3754,0.3251
xgboost_tuned,test,"depth=3,eta=0.1,nr=100",NA,0.3189,0.3159
svm_tuned,test,"cost=1,gamma=0.1",0.2847,0.4086,0.251
