topic_cluster,n,pct_high,pct_medium,pct_low,mean_abstract_length,mean_concept_count
0,79,0.16455696202531644,0.31645569620253167,0.5189873417721519,-0.15689196892151763,0.30316286703281736
1,272,0.4338235294117647,0.34191176470588236,0.22426470588235295,0.215401408992645,-0.35212818031990195
2,623,0.2841091492776886,0.32263242375601925,0.39325842696629215,-0.12899922004676184,0.18480974857826682
3,82,0.5975609756097561,0.34146341463414637,0.06097560975609756,0.13823200007424413,-0.3404901446435848
4,321,0.29595015576323985,0.32398753894080995,0.38006230529595014,0.11451717201182794,-0.007452963969289563
5,182,0.45604395604395603,0.33516483516483514,0.2087912087912088,-0.13288325300787843,-0.17037090431299864
6,237,0.35443037974683544,0.28270042194092826,0.3628691983122363,-0.054220451059214844,-0.04417034613504943
7,204,0.2696078431372549,0.38235294117647056,0.3480392156862745,0.010836438695499806,-0.22216166966850867
