title_word_count,text_richness,title_to_abstract_ratio,abstract_word_count,concept_count,keyword_count,recency_score,text_length_category,abstract_keyword_overlap,oa_category
10,0.1519,0.041,237,19,17,0.3333,3,1,partially_open
10,0.0936,0.0501,235,12,10,0.3333,3,1,partially_open
13,0.2361,0.1029,144,17,17,0,2,1,partially_open
12,0.0629,0.0471,286,10,8,0.3333,3,1,fully_open
20,0.1746,0.1238,189,18,15,0.6667,2,0,fully_open
6,0.1027,0.0346,185,12,7,0.3333,2,1,closed
9,0.0506,0.0381,237,6,6,0.6667,3,1,closed
12,0.1627,0.0662,166,15,12,0,2,0,fully_open
16,0.0766,0.07,261,10,10,0.3333,3,0,partially_open
10,0.1626,0.0482,203,18,15,0.3333,2,1,partially_open
11,0.1882,0.0768,170,18,14,0.6667,2,1,fully_open
3,0.2045,0.0473,88,9,9,0.6667,2,0,fully_open
4,0.2069,0.0375,116,13,11,0,2,1,partially_open
10,0.1696,0.056,171,18,11,0,2,0,partially_open
10,0.0856,0.0516,257,13,9,0.3333,3,1,partially_open
10,0.0663,0.0252,392,13,13,0.3333,3,1,fully_open
7,0.1645,0.0586,152,14,11,0.3333,2,1,partially_open
3,0.098,0.0161,204,11,9,0.3333,2,0,fully_open
13,0.0717,0.0594,279,12,8,0.3333,3,1,fully_open
9,0.0447,0.0472,179,4,4,0.6667,2,1,partially_open
18,0.1308,0.0856,214,14,14,0,3,0,fully_open
10,0.2622,0.0581,164,24,19,0.6667,2,0,fully_open
9,0.1009,0.043,228,12,11,0.3333,3,1,fully_open
12,0.1751,0.0865,177,17,14,0,2,1,partially_open
8,0.1275,0.0395,204,14,12,0,2,1,closed
12,0.078,0.0348,295,12,11,0.6667,3,1,fully_open
28,0.1724,0.1341,232,22,18,0.6667,2,1,fully_open
12,0.1795,0.0866,156,15,13,0.3333,2,1,fully_open
8,0.186,0.0629,129,13,11,0,2,1,fully_open
12,0.1467,0.073,184,15,12,0.6667,2,1,fully_open
18,0.3391,0.1611,115,23,16,0.6667,2,1,fully_open
