publication_year,paper_age,title_length,abstract_length,keyword_count,concept_count,has_doi,title_word_count,abstract_word_count,title_to_abstract_ratio,text_richness,recency_score,abstract_keyword_overlap,publication_year_norm,is_open_access_int,has_fulltext_int,oa_cat_fully_open,oa_cat_partially_open,oa_cat_closed,impact_tier
2023,3,42,560,2,2,1,6,87,0.075,0.046,0.3333,1,0.3333,1,0,0,1,0,high
2023,3,68,1049,9,13,1,9,137,0.0648,0.1606,0.3333,1,0.3333,0,0,0,0,1,high
2023,3,85,1099,12,14,1,13,157,0.0773,0.1656,0.3333,1,0.3333,0,0,0,0,1,high
2022,4,66,1305,14,20,1,9,192,0.0506,0.1771,0,0,0,1,1,0,1,0,high
2022,4,90,1715,12,16,1,11,223,0.0525,0.1256,0,1,0,0,0,0,0,1,high
2022,4,68,1117,13,15,1,11,173,0.0609,0.1618,0,1,0,1,1,0,1,0,high
2023,3,77,1922,9,10,1,10,274,0.0401,0.0693,0.3333,1,0.3333,0,0,0,0,1,high
2022,4,51,1132,15,17,1,6,158,0.0451,0.2025,0,1,0,1,1,1,0,0,high
2024,2,102,1260,9,10,1,15,188,0.081,0.1011,0.6667,1,0.6667,1,0,1,0,0,high
2024,2,56,1162,2,2,1,9,164,0.0482,0.0244,0.6667,0,0.6667,1,0,0,1,0,high
2022,4,89,666,12,15,1,9,94,0.1336,0.2872,0,1,0,1,0,0,1,0,high
2023,3,43,1008,10,16,1,7,141,0.0427,0.1844,0.3333,0,0.3333,1,0,0,1,0,high
2023,3,45,1590,9,10,1,6,208,0.0283,0.0913,0.3333,1,0.3333,1,1,0,1,0,high
2023,3,13,526,10,16,1,2,81,0.0247,0.321,0.3333,0,0.3333,1,1,0,1,0,high
2022,4,62,1449,19,23,1,8,219,0.0428,0.1918,0,0,0,1,0,1,0,0,high
2023,3,79,995,5,5,1,9,148,0.0794,0.0676,0.3333,0,0.3333,1,1,0,1,0,high
2022,4,87,660,6,6,1,10,95,0.1318,0.1263,0,1,0,1,1,0,1,0,high
2022,4,59,1288,11,16,1,8,183,0.0458,0.1475,0,0,0,1,1,0,1,0,high
2022,4,34,1194,13,21,1,4,170,0.0285,0.2,0,1,0,1,1,1,0,0,high
2023,3,57,938,16,21,1,6,127,0.0608,0.2913,0.3333,1,0.3333,1,0,0,1,0,high
2023,3,47,2242,10,12,1,8,317,0.021,0.0694,0.3333,1,0.3333,1,1,0,1,0,high
2022,4,80,833,11,11,1,10,108,0.096,0.2037,0,1,0,1,1,1,0,0,high
2023,3,94,815,11,19,1,13,116,0.1153,0.2586,0.3333,1,0.3333,0,0,0,0,1,high
2022,4,24,984,14,19,1,3,136,0.0244,0.2426,0,0,0,1,0,0,1,0,high
2022,4,91,1665,17,21,1,11,232,0.0547,0.1638,0,1,0,1,1,0,1,0,high
2022,4,45,1704,8,9,1,6,235,0.0264,0.0723,0,1,0,1,1,0,1,0,high
2022,4,54,1255,12,16,1,8,175,0.043,0.16,0,1,0,0,0,0,0,1,high
2023,3,98,1581,12,14,1,12,239,0.062,0.1088,0.3333,1,0.3333,1,1,0,1,0,high
2023,3,71,202,5,5,1,9,32,0.3515,0.3125,0.3333,1,0.3333,0,0,0,0,1,high
2022,4,62,1108,13,18,1,10,161,0.056,0.1925,0,1,0,0,0,0,0,1,high
2022,4,95,1202,11,13,1,11,173,0.079,0.1387,0,1,0,1,1,0,1,0,high
2023,3,42,348,12,13,1,6,52,0.1207,0.4808,0.3333,0,0.3333,0,0,0,0,1,high
2023,3,126,1037,6,6,1,18,150,0.1215,0.08,0.3333,0,0.3333,1,1,1,0,0,high
2023,3,73,1308,11,12,1,12,194,0.0558,0.1186,0.3333,0,0.3333,1,1,0,1,0,high
2022,4,105,1008,18,18,1,12,143,0.1042,0.2517,0,0,0,1,1,1,0,0,high
2022,4,113,1349,11,14,1,13,203,0.0838,0.1232,0,1,0,1,1,0,1,0,high
2022,4,30,1650,18,22,1,4,223,0.0182,0.1794,0,0,0,1,1,0,1,0,high
2024,2,61,904,14,16,1,8,133,0.0675,0.2256,0.6667,1,0.6667,1,1,1,0,0,high
2022,4,120,1223,8,11,1,17,169,0.0981,0.1124,0,1,0,1,1,0,1,0,high
2024,2,115,1922,11,13,1,15,242,0.0598,0.0992,0.6667,1,0.6667,1,0,0,1,0,high
2022,4,78,1284,10,16,1,11,178,0.0607,0.1461,0,1,0,1,1,1,0,0,high
2022,4,84,1206,7,8,1,10,173,0.0697,0.0867,0,1,0,1,1,0,1,0,high
2022,4,31,1247,10,12,1,4,185,0.0249,0.1189,0,1,0,0,0,0,0,1,high
2024,2,57,1004,6,7,1,10,146,0.0568,0.089,0.6667,1,0.6667,1,1,1,0,0,high
2023,3,66,1608,17,19,1,10,237,0.041,0.1519,0.3333,1,0.3333,1,1,0,1,0,high
2023,3,78,1556,10,12,1,10,235,0.0501,0.0936,0.3333,1,0.3333,1,1,0,1,0,high
2022,4,101,982,17,17,1,13,144,0.1029,0.2361,0,1,0,1,1,0,1,0,high
2023,3,90,1910,8,10,1,12,286,0.0471,0.0629,0.3333,1,0.3333,1,1,1,0,0,high
2024,2,164,1325,15,18,1,20,189,0.1238,0.1746,0.6667,0,0.6667,1,1,1,0,0,high
2023,3,45,1299,7,12,1,6,185,0.0346,0.1027,0.3333,1,0.3333,0,0,0,0,1,high
