feature,pass_nzv,pass_corr,pass_mi,pass_rf,mi_score,rf_score,votes,selected
title_word_count,1,1,1,1,0.020773145297530604,98.45325599276957,2,TRUE
text_richness,1,1,1,1,0.013013727388127958,170.30619243226866,2,TRUE
title_to_abstract_ratio,1,1,1,1,0.012837717811112056,182.52940958523777,2,TRUE
abstract_word_count,1,1,1,1,0.011030342013963563,164.73960872940359,2,TRUE
concept_count,1,1,1,1,0.00484014516975524,108.04780847974405,2,TRUE
keyword_count,1,1,1,0,0.009910801026334987,95.50184522217614,1,TRUE
recency_score,1,1,1,0,0.008892385325572145,45.04515848229715,1,TRUE
text_length_category,1,1,1,0,0.006846964504665071,12.210766943397811,1,TRUE
abstract_keyword_overlap,1,1,1,0,0.003101267629179401,22.29495960516589,1,TRUE
