model,split,best_params,cv_f1_macro,accuracy,f1_macro
random_forest_tuned,val,"ntree=500,mtry=8",0.6181,0.6288,0.6203
random_forest_tuned,test,"ntree=500,mtry=8",0.6181,0.5615,0.5475
xgboost_tuned,val,"depth=6,eta=0.10,rounds=300",NA,0.3445,0.3333
xgboost_tuned,test,"depth=6,eta=0.10,rounds=300",NA,0.3555,0.3537
svm_tuned,val,"cost=10,gamma=0.0010",0.6065,0.5886,0.5896
svm_tuned,test,"cost=10,gamma=0.0010",0.6065,0.5748,0.5701
